date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2017-04-24,2017,Mumbai,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,157,8,160,6,Rising Pune Supergiant,complete,3,0,BA Stokes,J Srinath,A Nand Kishore,S Ravi,KN Ananthapadmanabhan,Navdeep Singh,20,"PA Patel, JC Buttler, N Rana, RG Sharma, KV Sharma, KA Pollard, HH Pandya, Harbhajan Singh, MJ McClenaghan, MG Johnson, JJ Bumrah","AM Rahane, RA Tripathi, SPD Smith, MS Dhoni, BA Stokes, MK Tiwary, DT Christian, Washington Sundar, SN Thakur, JD Unadkat, Imran Tahir"
2017-04-26,2017,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,182,5,184,3,Kolkata Knight Riders,complete,0,7,RV Uthappa,AJ Pycroft,AY Dandekar,NJ Llong,CB Gaffaney,N Pandit,20,"AM Rahane, RA Tripathi, SPD Smith, MS Dhoni, MK Tiwary, DT Christian, F du Plessis, Washington Sundar, SN Thakur, JD Unadkat, Imran Tahir","SP Narine, G Gambhir, RV Uthappa, DM Bravo, MK Pandey, YK Pathan, C de Grandhomme, CR Woakes, PP Chawla, Kuldeep Yadav, UT Yadav"
2017-04-27,2017,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,134,10,135,3,Gujarat Lions,complete,0,7,AJ Tye,Chinmay Sharma,AK Chaudhary,C Shamshuddin,M Erasmus,R Pandit,20,"CH Gayle, V Kohli, AB de Villiers, TM Head, KM Jadhav, Mandeep Singh, P Negi, S Badree, S Aravind, A Choudhary, YS Chahal","Ishan Kishan, BB McCullum, SK Raina, AJ Finch, RA Jadeja, KD Karthik, JP Faulkner, AJ Tye, Basil Thampi, NB Singh, Ankit Soni"
2017-04-28,2017,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,181,9,207,3,Sunrisers Hyderabad,complete,26,0,Rashid Khan,S Chaturvedi,Nitin Menon,CK Nandan,YC Barde,K Srinivasan,20,"MJ Guptill, M Vohra, SE Marsh, GJ Maxwell, EJG Morgan, WP Saha, AR Patel, Anureet Singh, MM Sharma, I Sharma, KC Cariappa","DA Warner, S Dhawan, KS Williamson, Yuvraj Singh, MC Henriques, DJ Hooda, NV Ojha, B Kumar, A Nehra, S Kaul, Rashid Khan"
2017-04-28,2017,Kolkata,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,161,3,160,6,Kolkata Knight Riders,complete,0,7,G Gambhir,AJ Pycroft,NJ Llong,S Ravi,VK Sharma,Navdeep Singh,20,"SP Narine, G Gambhir, RV Uthappa, MK Pandey, SP Jackson, YK Pathan, C de Grandhomme, CR Woakes, NM Coulter-Nile, UT Yadav, Kuldeep Yadav","SV Samson, KK Nair, SS Iyer, RR Pant, CH Morris, CJ Anderson, AR Bawne, PJ Cummins, K Rabada, A Mishra, Z Khan"
2017-04-29,2017,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,159,9,164,12,None,tie,0,0,KH Pandya,M Nayyar,AK Chaudhary,CB Gaffaney,A Nand Kishore,N Pandit,20,"Ishan Kishan, BB McCullum, SK Raina, AJ Finch, KD Karthik, RA Jadeja, JP Faulkner, IK Pathan, AJ Tye, Basil Thampi, Ankit Soni","PA Patel, JC Buttler, N Rana, RG Sharma, KA Pollard, KH Pandya, HH Pandya, Harbhajan Singh, MJ McClenaghan, JJ Bumrah, SL Malinga"
2017-04-29,2017,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,157,3,96,9,Rising Pune Supergiant,complete,61,0,LH Ferguson,Chinmay Sharma,KN Ananthapadmanabhan,M Erasmus,C Shamshuddin,R Pandit,20,"AM Rahane, RA Tripathi, SPD Smith, MK Tiwary, MS Dhoni, DT Christian, Washington Sundar, LH Ferguson, JD Unadkat, DL Chahar, Imran Tahir","TM Head, V Kohli, AB de Villiers, KM Jadhav, Sachin Baby, STR Binny, P Negi, AF Milne, S Badree, S Aravind, YS Chahal"
2017-04-30,2017,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,field,68,0,67,10,Kings XI Punjab,complete,0,10,Sandeep Sharma,S Chaturvedi,YC Barde,CK Nandan,Nitin Menon,K Srinivasan,20,"MJ Guptill, HM Amla, M Vohra, SE Marsh, GJ Maxwell, WP Saha, AR Patel, MM Sharma, VR Aaron, Sandeep Sharma, T Natarajan","SV Samson, SW Billings, KK Nair, SS Iyer, RR Pant, CJ Anderson, CH Morris, K Rabada, A Mishra, Mohammed Shami, S Nadeem"
2017-04-30,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,209,3,161,7,Sunrisers Hyderabad,complete,48,0,DA Warner,J Srinath,AY Dandekar,S Ravi,VK Sharma,Navdeep Singh,20,"DA Warner, S Dhawan, KS Williamson, Yuvraj Singh, MC Henriques, NV Ojha, Bipul Sharma, B Kumar, Rashid Khan, S Kaul, Mohammed Siraj","SP Narine, G Gambhir, RV Uthappa, MK Pandey, YK Pathan, SP Jackson, C de Grandhomme, CR Woakes, NM Coulter-Nile, UT Yadav, Kuldeep Yadav"
2017-05-01,2017,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,field,167,5,161,10,Rising Pune Supergiant,complete,0,5,BA Stokes,Chinmay Sharma,M Erasmus,C Shamshuddin,KN Ananthapadmanabhan,R Pandit,20,"AM Rahane, RA Tripathi, SPD Smith, MK Tiwary, BA Stokes, MS Dhoni, DT Christian, Washington Sundar, JD Unadkat, SN Thakur, Imran Tahir","Ishan Kishan, BB McCullum, SK Raina, AJ Finch, DR Smith, KD Karthik, RA Jadeja, JP Faulkner, PJ Sangwan, Basil Thampi, Ankit Soni"
